1	,	16	,	-1.46055e+01	,	-7.39200e+00	,	4.48831e+00	,	1.64000e-04	,	0.00000000e+00	,	1
4	,	16	,	-1.46055e+01	,	-7.39200e+00	,	4.48831e+00	,	2.64000e-04	,	0.00000000e+00	,	1
4	,	17	,	-1.46055e+01	,	-7.39200e+00	,	4.48831e+00	,	-1.40000e-04	,	0.00000000e+00	,	1
4	,	18	,	-1.46055e+01	,	-7.39200e+00	,	4.48831e+00	,	-1.44000e-04	,	0.00000000e+00	,	1
9	,	19	,	-1.48781e+01	,	-1.10880e+01	,	-1.99769e+00	,	1.27000e-04	,	0.00000000e+00	,	1
4	,	16	,	-1.46055e+01	,	0.00000e+00	,	-8.48369e+00	,	-1.02000e-04	,	0.00000000e+00	,	1
12	,	16	,	-1.97466e+01	,	-3.69600e+00	,	-1.94580e+01	,	-3.39000e-04	,	0.00000000e+00	,	1
14	,	16	,	-1.97466e+01	,	-3.69600e+00	,	-1.94580e+01	,	2.82000e-04	,	0.00000000e+00	,	1
11	,	17	,	-1.97466e+01	,	-3.69600e+00	,	-1.94580e+01	,	1.09000e-04	,	0.00000000e+00	,	1
13	,	17	,	-1.97466e+01	,	-3.69600e+00	,	-1.94580e+01	,	1.60000e-04	,	0.00000000e+00	,	1
1	,	19	,	-1.46055e+01	,	0.00000e+00	,	-8.48369e+00	,	1.05000e-04	,	0.00000000e+00	,	1
4	,	19	,	-1.46055e+01	,	0.00000e+00	,	-8.48369e+00	,	1.76000e-04	,	0.00000000e+00	,	1
11	,	19	,	-1.97466e+01	,	-3.69600e+00	,	-1.94580e+01	,	-6.00000e-04	,	0.00000000e+00	,	1
12	,	19	,	-1.97466e+01	,	-3.69600e+00	,	-1.94580e+01	,	6.05000e-04	,	0.00000000e+00	,	1
14	,	19	,	-1.97466e+01	,	-3.69600e+00	,	-1.94580e+01	,	-3.64000e-04	,	0.00000000e+00	,	1
12	,	20	,	-1.97466e+01	,	-3.69600e+00	,	-1.94580e+01	,	-3.33000e-04	,	0.00000000e+00	,	1
14	,	20	,	-1.97466e+01	,	-3.69600e+00	,	-1.94580e+01	,	2.33000e-04	,	0.00000000e+00	,	1
12	,	16	,	-1.97466e+01	,	-3.69600e+00	,	-6.48600e+00	,	1.10000e-04	,	0.00000000e+00	,	1
14	,	16	,	-1.97466e+01	,	-3.69600e+00	,	-6.48600e+00	,	-5.99000e-04	,	0.00000000e+00	,	1
11	,	17	,	-1.97466e+01	,	-3.69600e+00	,	-6.48600e+00	,	-3.40000e-04	,	0.00000000e+00	,	1
14	,	17	,	-1.97466e+01	,	-3.69600e+00	,	-6.48600e+00	,	6.05000e-04	,	0.00000000e+00	,	1
15	,	17	,	-1.97466e+01	,	-3.69600e+00	,	-6.48600e+00	,	-3.32000e-04	,	0.00000000e+00	,	1
12	,	18	,	-1.97466e+01	,	-3.69600e+00	,	-6.48600e+00	,	1.60000e-04	,	0.00000000e+00	,	1
9	,	19	,	-1.48781e+01	,	-3.69600e+00	,	-1.99769e+00	,	1.27000e-04	,	0.00000000e+00	,	1
11	,	19	,	-1.97466e+01	,	-3.69600e+00	,	-6.48600e+00	,	2.82000e-04	,	0.00000000e+00	,	1
14	,	19	,	-1.97466e+01	,	-3.69600e+00	,	-6.48600e+00	,	-3.64000e-04	,	0.00000000e+00	,	1
15	,	19	,	-1.97466e+01	,	-3.69600e+00	,	-6.48600e+00	,	2.33000e-04	,	0.00000000e+00	,	1
12	,	16	,	-1.97466e+01	,	3.69600e+00	,	-1.94580e+01	,	3.40000e-04	,	0.00000000e+00	,	1
14	,	16	,	-1.97466e+01	,	3.69600e+00	,	-1.94580e+01	,	2.82000e-04	,	0.00000000e+00	,	1
11	,	17	,	-1.97466e+01	,	3.69600e+00	,	-1.94580e+01	,	-1.10000e-04	,	0.00000000e+00	,	1
13	,	17	,	-1.97466e+01	,	3.69600e+00	,	-1.94580e+01	,	1.60000e-04	,	0.00000000e+00	,	1
11	,	19	,	-1.97466e+01	,	3.69600e+00	,	-1.94580e+01	,	-5.99000e-04	,	0.00000000e+00	,	1
12	,	19	,	-1.97466e+01	,	3.69600e+00	,	-1.94580e+01	,	-6.05000e-04	,	0.00000000e+00	,	1
14	,	19	,	-1.97466e+01	,	3.69600e+00	,	-1.94580e+01	,	-3.64000e-04	,	0.00000000e+00	,	1
12	,	20	,	-1.97466e+01	,	3.69600e+00	,	-1.94580e+01	,	3.33000e-04	,	0.00000000e+00	,	1
14	,	20	,	-1.97466e+01	,	3.69600e+00	,	-1.94580e+01	,	2.33000e-04	,	0.00000000e+00	,	1
1	,	16	,	-1.46055e+01	,	7.39200e+00	,	4.48831e+00	,	1.65000e-04	,	0.00000000e+00	,	1
4	,	16	,	-1.46055e+01	,	7.39200e+00	,	4.48831e+00	,	2.64000e-04	,	0.00000000e+00	,	1
12	,	16	,	-1.97466e+01	,	3.69600e+00	,	-6.48600e+00	,	-1.10000e-04	,	0.00000000e+00	,	1
14	,	16	,	-1.97466e+01	,	3.69600e+00	,	-6.48600e+00	,	-5.99000e-04	,	0.00000000e+00	,	1
4	,	17	,	-1.46055e+01	,	7.39200e+00	,	4.48831e+00	,	1.40000e-04	,	0.00000000e+00	,	1
11	,	17	,	-1.97466e+01	,	3.69600e+00	,	-6.48600e+00	,	3.40000e-04	,	0.00000000e+00	,	1
14	,	17	,	-1.97466e+01	,	3.69600e+00	,	-6.48600e+00	,	-6.05000e-04	,	0.00000000e+00	,	1
15	,	17	,	-1.97466e+01	,	3.69600e+00	,	-6.48600e+00	,	3.32000e-04	,	0.00000000e+00	,	1
